market_id,event_id,strict_sensitivity
1.258760105,35668663,True
1.258760176,35668653,True
1.258760192,35668668,True
1.258760259,35668658,True
1.258760260,35668678,True
1.258760286,35668673,True
1.258760346,35668688,True
1.258760357,35668712,True
1.258760417,35668683,True
1.258760477,35668698,True
1.258760500,35668722,True
1.258760555,35668693,True
1.258760695,35668717,True
1.258760719,35668727,True
1.258760768,35668808,True
1.258760792,35668752,True
1.258760846,35668732,True
1.258761124,35668818,True
1.258761198,35668737,True
1.258761224,35668778,True
1.258761278,35668742,True
1.258761340,35668803,True
1.258761357,35668747,True
1.258761413,35668813,True
1.258761493,35668773,True
1.258761561,35668783,True
1.258761578,35668788,True
1.258761642,35668793,True
1.258761666,35668798,True
1.258762087,35668828,True
1.258762088,35668833,True
1.258762144,35668843,True
1.258762154,35668838,True
1.258762172,35668863,True
1.258762228,35668858,True
1.258762237,35668873,True
1.258762238,35668848,True
1.258762313,35668878,True
1.258762320,35668853,True
1.258762400,35668868,True
1.258762560,35668886,True
1.258762561,35668891,True
1.258762583,35668901,True
1.258762614,35668906,True
1.258762619,35668896,True
1.258762638,35668921,True
1.258762698,35668911,True
1.258762704,35668926,True
1.258762784,35668916,True
1.258762788,35668931,True
1.258762864,35668936,True
1.258770969,35670046,True
1.258770970,35670051,True
1.258770971,35670056,True
1.258771006,35670061,True
1.258771012,35670071,True
1.258771026,35670081,True
1.258771094,35670066,True
1.258771110,35670086,True
1.258771178,35670076,True
1.258771195,35670091,True
1.258774762,35670723,True
1.258774763,35670728,True
1.258774944,35670733,True
1.258774945,35670743,True
1.258774946,35670748,True
1.258775276,35670738,True
1.258775546,35670761,True
1.258775559,35670766,True
1.258775560,35670771,True
1.258775978,35670787,True
1.258776096,35670823,True
1.258776097,35670828,True
1.258776186,35670835,True
1.258776210,35670845,True
1.258776227,35670840,True
1.258776401,35670870,True
1.258776444,35670875,True
1.258776525,35670889,True
1.258776803,35670937,True
1.258776931,35670946,True
1.258777215,35670970,True
1.258777237,35670960,True
1.258777243,35670965,True
1.258777408,35670995,True
1.258777850,35671041,True
1.258777853,35671056,True
1.258777855,35671051,True
1.258777896,35671046,True
1.258778121,35671073,True
1.258778928,35671373,True
1.258778984,35671527,True
1.258778985,35671522,True
1.258779162,35671532,True
1.258779368,35671543,True
1.258779411,35671553,True
1.258779500,35671558,True
1.258779667,35671565,True
1.258779668,35671575,True
1.258779674,35671580,True
1.258779934,35671570,True
1.258779936,35671590,True
1.258779937,35671615,True
1.258780262,35671585,True
1.258780266,35671610,True
1.258780510,35671595,True
1.258780670,35671600,True
1.258780837,35671605,True
1.258781085,35671633,True
1.258781288,35671729,True
1.258781663,35671925,True
1.258781664,35671930,True
1.258781676,35671935,True
1.258781955,35671940,True
1.258782593,35672129,True
1.258782596,35672134,True
1.258782831,35672154,True
1.258783097,35672164,True
1.258783140,35672175,True
1.258783176,35672180,True
1.258783338,35672190,True
1.258783339,35672185,True
1.258783362,35672195,True
1.258783505,35672219,True
1.258787374,35672751,True
1.258788960,35672871,True
1.258788964,35672876,True
1.258790612,35672925,True
1.258800057,35673478,True
1.258800058,35673483,True
1.258800095,35673488,True
1.258801643,35673705,True
1.258807275,35673759,True
1.258807278,35673764,True
1.258807325,35673779,True
1.258807331,35673769,True
1.258807415,35673774,True
1.258807441,35673784,True
1.258808324,35674443,True
1.258808326,35674448,True
1.258808420,35674453,True
1.258808742,35674468,True
1.258808743,35674473,True
1.258808798,35674483,True
1.258808803,35674478,True
1.258809024,35674521,True
1.258809028,35674531,True
1.258809032,35674536,True
1.258809084,35674526,True
1.258809104,35674541,True
1.258809166,35674551,True
1.258809189,35674546,True
1.258809449,35674575,True
1.258810237,35674625,True
1.258811789,35674693,True
1.258812688,35675127,True
1.258812756,35675150,True
1.258812757,35675140,True
1.258812759,35675165,True
1.258812847,35675145,True
1.258812851,35675160,True
1.258813243,35675155,True
1.258813244,35675180,True
1.258813497,35675170,True
1.258813498,35675185,True
1.258813751,35675190,True
1.258813752,35675175,True
1.258814198,35675203,True
1.258814355,35675214,True
1.258814507,35675282,True
1.258814508,35675272,True
1.258814509,35675267,True
1.258814549,35675277,True
1.258814561,35675297,True
1.258814574,35675307,True
1.258814637,35675287,True
1.258814718,35675292,True
1.258814797,35675302,True
1.258814868,35675312,True
1.258814958,35675355,True
1.258814960,35675360,True
1.258814970,35675370,True
1.258815012,35675365,True
1.258815024,35675385,True
1.258815036,35675380,True
1.258815099,35675375,True
1.258815512,35675399,True
1.258815908,35675409,True
1.258816725,35675459,True
1.258816985,35675259,False
1.258816986,35675260,False
1.258816987,35675261,False
1.258816988,35675262,False
1.258816989,35675390,False
1.258817093,35675490,True
1.258818346,35675518,False
1.258818347,35675519,False
1.258818354,35675638,True
1.258818486,35675596,False
1.258818487,35675598,False
1.258818488,35675595,False
1.258818491,35675597,False
1.258818492,35675594,False
1.258818493,35675581,False
1.258822463,35675804,True
1.258826917,35676545,False
1.258826918,35676070,False
1.258826919,35676454,False
1.258826920,35676016,False
1.258826921,35676017,False
1.258826922,35676018,False
1.258826926,35676019,False
1.258828882,35676864,True
1.258830149,35676984,True
1.258830432,35677038,True
1.258830717,35677072,True
1.258830851,35677100,True
1.258830870,35677105,True
1.258830937,35677110,True
1.258831229,35677171,True
1.258831274,35677771,True
1.258831539,35677975,True
1.258832129,35677996,True
1.258832257,35678004,True
1.258832300,35675961,False
1.258832302,35675962,False
1.258832306,35677050,False
1.258832307,35677054,False
1.258832308,35677055,False
1.258832309,35677058,False
1.258832310,35677059,False
1.258832311,35677061,False
1.258832312,35677062,False
1.258832313,35677063,False
1.258832314,35677064,False
1.258832568,35678025,True
1.258832623,35678042,True
1.258832751,35678063,True
1.258832794,35678058,True
1.258832853,35678084,True
1.258832856,35678090,True
1.258834739,35678124,True
1.258834869,35678144,True
1.258834970,35678168,True
1.258835013,35678173,True
1.258835176,35678209,True
1.258835247,35678204,True
1.258836715,35678309,True
1.258836734,35678314,True
1.258836916,35678353,True
1.258838655,35678633,True
1.258840214,35678741,True
1.258840266,35678758,True
1.258840500,35679061,True
1.258840510,35679066,True
1.258840640,35679085,True
1.258840821,35679160,True
1.258840890,35679187,True
1.258840891,35679182,True
1.258841068,35679197,True
1.258841069,35679192,True
1.258841681,35679308,True
1.258841747,35679336,True
1.258842097,35679359,True
1.258842227,35679367,True
1.258842278,35679377,True
1.258842323,35679386,True
1.258843121,35679428,True
1.258843332,35679438,True
1.258843378,35679704,True
1.258843506,35679715,True
1.258843556,35679762,True
1.258843599,35679767,True
1.258843769,35679994,True
1.258844341,35679721,False
1.258844562,35679374,False
1.258844673,35679206,False
1.258844788,35679205,False
1.258844789,35679723,False
1.258844882,35679445,False
1.258844883,35679409,False
1.258844884,35679375,False
1.258846555,35680073,True
1.258848015,35680057,False
1.258848016,35680107,False
1.258848017,35680109,False
1.258848018,35680058,False
1.258848129,35680110,False
1.258848130,35680059,False
1.258848131,35680108,False
1.258848132,35680060,False
1.258848983,35680153,True
1.258849186,35680161,True
1.258854145,35680390,False
1.258854157,35680386,False
1.258854168,35680355,False
1.258854169,35680925,False
1.258854170,35680926,False
1.258854281,35680920,False
1.258854282,35680345,False
1.258854283,35680389,False
1.258854284,35680921,False
1.258854285,35680385,False
1.258854286,35680924,False
1.258854287,35680900,False
1.258854288,35680972,False
1.258854289,35680910,False
1.258865579,35682005,True
1.258866483,35682026,True
1.258867406,35682091,True
1.258867451,35682102,True
1.258868336,35682170,True
1.258868513,35682182,True
1.258868859,35682200,True
1.258869252,35682214,True
1.258870115,35682295,True
1.258870162,35682302,True
1.258870460,35682344,True
1.258871429,35682431,True
1.258871694,35682703,True
1.258871733,35682708,True
1.258871828,35682763,True
1.258871924,35682786,True
1.258872255,35682842,True
1.258873796,35682945,True
1.258873806,35682940,True
1.258873825,35682950,True
1.258873842,35682955,True
1.258873908,35682960,True
1.258873925,35682970,True
1.258873991,35682965,True
